Employee_ID,Age,Gender,Education Level,Job Title,Years of Experience,Salary
1194,34.0,Male,Bachelor's,Senior Product Manager,7.0,95000.0
1076,37.0,Male,Bachelor's,Project Manager,10.0,95000.0
1085,29.0,Female,Bachelor's,Junior Designer,2.0,40000.0
1364,33.0,Male,Bachelor's,Junior Marketing Specialist,5.0,70000.0
1017,33.0,Female,Master's,Marketing Manager,7.0,90000.0
1067,46.0,Male,Bachelor's,IT Manager,19.0,120000.0
1285,35.0,Male,Bachelor's,Senior Financial Manager,9.0,100000.0
1008,31.0,Male,Bachelor's,Sales Manager,4.0,80000.0
1114,32.0,Male,Master's,Senior Business Analyst,6.0,90000.0
1117,40.0,Female,Bachelor's,Office Manager,15.0,65000.0
1332,40.0,Male,Bachelor's,Senior Financial Analyst,12.0,130000.0
1326,36.0,Male,Bachelor's,Senior Operations Manager,9.0,100000.0
1276,38.0,Female,Bachelor's,Senior Project Manager,9.0,120000.0
1203,44.0,Male,Bachelor's,Senior Sales Manager,16.0,130000.0
1111,42.0,Female,Master's,Senior Graphic Designer,15.0,110000.0
1278,34.0,Female,Bachelor's,Junior Financial Analyst,5.0,70000.0
1061,51.0,Female,Master's,Director of Operations,23.0,170000.0
1159,51.0,Female,PhD,Director of Human Resources,23.0,185000.0
1266,29.0,Female,Bachelor's,Junior Sales Representative,1.5,40000.0
1224,42.0,Female,Master's,Senior Human Resources Manager,13.0,140000.0
1243,38.0,Female,Bachelor's,Senior Product Manager,10.0,120000.0
1142,41.0,Female,Master's,Senior Marketing Manager,13.0,110000.0
1018,39.0,Male,PhD,Senior Engineer,12.0,115000.0
1195,40.0,Female,Master's,Senior Human Resources Specialist,13.0,120000.0
1025,41.0,Male,Master's,Financial Manager,13.0,140000.0
1204,27.0,Female,Master's,Junior UX Designer,1.5,45000.0
1328,32.0,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000.0
1367,31.0,Female,Bachelor's,Junior Financial Analyst,3.0,50000.0
1219,29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000.0
1141,28.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0
1308,31.0,Male,Bachelor's,Junior Operations Analyst,3.0,50000.0
1348,45.0,Male,Master's,Director of Engineering,19.0,180000.0
1371,35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
1306,36.0,Male,Bachelor's,Senior Business Analyst,8.0,95000.0
1245,34.0,Female,Bachelor's,Junior Marketing Analyst,6.0,70000.0
1273,37.0,Male,Bachelor's,Senior Financial Analyst,8.0,90000.0
1174,43.0,Male,Bachelor's,Senior Project Manager,16.0,140000.0
1352,31.0,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000.0
1020,51.0,Male,Bachelor's,Sales Director,22.0,180000.0
1325,29.0,Female,Bachelor's,Junior Marketing Analyst,2.0,40000.0
1080,30.0,Female,Bachelor's,Content Marketing Manager,3.0,55000.0
1169,31.0,Female,Bachelor's,Junior HR Coordinator,4.0,50000.0
1019,25.0,Female,Bachelor's,Data Entry Clerk,0.0,35000.0
1334,33.0,Male,Bachelor's,Junior Product Manager,4.0,60000.0
1105,39.0,Female,Master's,Senior Project Coordinator,13.0,80000.0
1287,33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0
1119,29.0,Female,Bachelor's,Junior HR Generalist,3.0,45000.0
1164,35.0,Male,Bachelor's,Senior Marketing Coordinator,7.0,80000.0
1032,31.0,Female,Bachelor's,Accountant,4.0,55000.0
1037,35.0,Female,Bachelor's,HR Generalist,7.0,60000.0
1166,27.0,Male,Bachelor's,Junior Business Development Associate,1.5,35000.0
1225,28.0,Male,Bachelor's,Junior Financial Analyst,2.0,40000.0
1228,33.0,Female,Bachelor's,Junior Operations Manager,5.0,70000.0
1272,32.0,Female,Bachelor's,Junior Marketing Manager,4.0,60000.0
1140,43.0,Female,Master's,Senior Product Marketing Manager,14.0,120000.0
1176,35.0,Male,Bachelor's,Senior Operations Analyst,7.0,85000.0
1177,42.0,Female,PhD,Senior Marketing Manager,18.0,140000.0
1060,35.0,Male,Master's,Product Manager,7.0,105000.0
1112,37.0,Male,Bachelor's,Software Project Manager,9.0,95000.0
1359,36.0,Female,Bachelor's,Senior Marketing Manager,8.0,95000.0
1007,42.0,Female,Master's,Product Manager,12.0,120000.0
1269,33.0,Male,Bachelor's,Junior Operations Manager,4.0,60000.0
1259,50.0,Female,PhD,Director of Operations,22.0,180000.0
1011,29.0,Male,Master's,Software Developer,3.0,75000.0
1196,28.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0
1104,33.0,Male,Bachelor's,Junior Web Developer,5.0,50000.0
1082,41.0,Female,Master's,Data Analyst,13.0,80000.0
1184,27.0,Male,Bachelor's,Junior Product Manager,2.0,40000.0
1303,38.0,Female,Bachelor's,Senior Operations Coordinator,9.0,120000.0
1232,43.0,Male,Bachelor's,Senior Project Manager,15.0,120000.0
1311,29.0,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0
1149,38.0,Female,Bachelor's,Senior Accountant,10.0,80000.0
1256,44.0,Male,Bachelor's,Senior Software Engineer,14.0,130000.0
1238,45.0,Male,Master's,Senior Software Developer,16.0,140000.0
1148,31.0,Male,Bachelor's,Junior Project Manager,4.0,60000.0
1319,30.0,Female,Bachelor's,Junior HR Coordinator,2.0,40000.0
1093,43.0,Male,Bachelor's,Supply Chain Manager,18.0,105000.0
1070,49.0,Female,Master's,Senior Financial Analyst,18.0,150000.0
1254,28.0,Male,Bachelor's,Junior Business Development Associate,2.0,40000.0
1097,47.0,Male,PhD,Research Scientist,22.0,160000.0
1144,47.0,Male,Bachelor's,Senior Sales Manager,20.0,135000.0
1283,47.0,Male,Master's,Director of Marketing,19.0,170000.0
1098,26.0,Male,Bachelor's,Junior Software Developer,1.0,35000.0
1357,45.0,Female,PhD,Senior UX Designer,16.0,160000.0
1069,34.0,Male,Master's,Business Development Manager,8.0,90000.0
1024,36.0,Female,Bachelor's,Recruiter,9.0,60000.0
1038,42.0,Male,Master's,Project Engineer,14.0,115000.0
1145,25.0,Female,Master's,Junior Marketing Specialist,1.5,40000.0
1123,33.0,Female,Bachelor's,Junior Operations Analyst,5.0,50000.0
1068,31.0,Female,Bachelor's,Customer Service Representative,5.0,45000.0
1330,48.0,Male,Master's,Director of Marketing,21.0,180000.0
1354,48.0,Male,Master's,Director of Marketing,21.0,180000.0
1300,37.0,Male,Bachelor's,Senior Marketing Analyst,9.0,100000.0
1340,33.0,Male,Bachelor's,Junior Marketing Specialist,5.0,70000.0
1126,26.0,Male,Bachelor's,Junior Accountant,2.0,40000.0
1147,42.0,Female,PhD,Senior Data Scientist,16.0,150000.0
1212,45.0,Female,PhD,Senior Product Designer,15.0,150000.0
1087,27.0,Male,Bachelor's,Junior Account Manager,2.0,45000.0
1315,35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
1183,44.0,Female,PhD,Senior UX Designer,15.0,145000.0
1327,43.0,Female,PhD,Senior Data Scientist,15.0,150000.0
1293,29.0,Female,Bachelor's,Junior Marketing Specialist,2.0,40000.0
1282,41.0,Female,Bachelor's,Senior Project Coordinator,11.0,95000.0
1181,29.0,Female,Bachelor's,Junior Sales Representative,2.0,40000.0
1321,45.0,Female,Master's,Senior Marketing Manager,16.0,160000.0
