applicant_id,age,gender,income,loan_amount,credit_score,existing_loans,employment_years,education,self_employed,loan_term,loan_approved
APP00001,24,Female,42964,305600,674,2,6,Bachelor,No,12,0
APP00002,51,Female,90950,160300,650,0,5,Master,Yes,72,0
APP00003,47,Female,60942,164300,736,1,27,High School,No,60,1
APP00004,38,Female,52830,86500,663,3,1,Bachelor,No,36,0
APP00005,38,Male,57201,160800,659,2,7,Master,Yes,48,0
APP00006,55,Female,66337,89900,687,1,5,Bachelor,No,36,0
APP00007,24,Female,79195,65100,799,1,6,Master,No,24,1
APP00008,48,Female,38263,99100,586,3,0,Bachelor,No,36,0
APP00009,29,Female,37548,412700,734,1,0,High School,No,60,0
APP00010,24,Female,98637,155100,547,0,6,Bachelor,No,36,1
APP00011,42,Male,49839,203100,695,0,24,Bachelor,No,48,0
APP00012,60,Female,31714,135700,790,1,16,High School,No,60,0
APP00013,50,Male,73263,67200,714,0,13,High School,No,48,1
APP00014,51,Male,73911,301200,692,2,20,High School,No,24,0
APP00015,49,Female,30130,54500,641,1,17,Master,No,12,1
APP00016,52,Female,66527,132700,682,2,11,Master,No,12,1
APP00017,41,Male,83543,174700,662,5,18,Bachelor,No,48,0
APP00018,26,Male,71010,204300,625,2,0,High School,Yes,60,0
APP00019,54,Male,79737,120700,660,0,7,Bachelor,No,36,0
APP00020,39,Male,31894,65500,694,0,20,Master,No,72,0
APP00021,41,Male,69638,115900,626,3,10,Master,No,60,0
APP00022,35,Male,52361,119200,624,0,1,Bachelor,No,12,0
APP00023,28,Female,48283,117700,585,1,3,High School,No,12,0
APP00024,58,Female,88774,306900,707,5,26,Master,Yes,36,0
APP00025,52,Female,116748,92300,718,0,10,Master,No,24,1
APP00026,46,Male,134533,212400,696,0,0,High School,No,60,1
APP00027,37,Male,108420,196400,748,1,19,Master,No,12,1
APP00028,53,Male,57109,305300,686,0,16,High School,No,72,0
APP00029,42,Female,70321,167300,707,1,13,High School,No,60,1
APP00030,38,Male,84725,278100,701,4,20,Master,Yes,60,0
